"","true.values","mean","bias","sd","se","cp","V7","V8"
"d01",2,1.9351046817574,-0.0648953182425953,0.10131329660907,0.112974215842614,0.94,"AMSE.mu1",0.00020567077185413
"d02",1,0.960177619967913,-0.0398223800320874,0.0672115525655341,0.0544848936161233,0.84,"AMSE.mu2",0.000050952869315054
"d11",1,0.963694661595042,-0.0363053384049575,0.0564370129748456,0.037623131655023,0.69,"AMSE.mu3",0.000156533044430797
"d_m1",0.1,0.101051675270012,0.00105167527001236,0.00277489706342802,0.000381190639312472,0.29,"AMSE.mum",0.000000587803173290246
"d_m2",0.07,0.0721601222322758,0.0021601222322758,0.00168310071605646,0.000463018535709967,0.19,"AMSE.phi1",0.00216885413781393
"d_m3",0.05,0.0510811600357318,0.00108116003573179,0.00127429693241933,0.000245022403661339,0.16,"AMSE.phi2",0.00147217480467521
"d_m4",0.03,0.030576486047651,0.00057648604765102,0.000711549334059487,0.0000895710662613018,0.11,"AMSE.psi1",0.00164053530303148
"d_m5",0.01,0.0104411166357968,0.000441116635796848,0.000263806254216762,0.0000482575737822751,0.04,"AMSE.phi_m1",0.112757962346203
"beta_2",-0.55,-0.551097937594784,-0.00109793759478438,0.00652256438646876,0.00714552322985073,0.97,"AMSE.phi_m2",0.115904775050878
"beta_3",-0.6,-0.60086807722144,-0.000868077221439667,0.0117446192824704,0.0116730862463226,0.96,"AMSE.psi_m1",0.00598629915882864
"beta_m",-0.05,-0.0479421477468221,0.00205785225317787,0.00782345244572542,NA,0,"AMSE.psi_m2",0.00792603130147716
"sigma_1",1.1,1.10063211950499,0.000632119504994089,0.0105893464199279,0.0108992381131842,0.95,"AMSE.psi_m3",0.00263079759997907
"sigma_2",0.6,0.601252565775784,0.0012525657757837,0.0050024873158272,0.00597506311596166,0.97,"AMSE.psi_m4",0.000501244751818972
"sigma_3",1.36,1.36115015739179,0.00115015739178692,0.0107215353170856,0.012564788813487,1,"AMSE.psi_m5",0.000242292604280707
"sigma_m",0.4,0.399940301015785,-0.0000596989842149287,0.000177228125627253,0.399940339891223,0,NA,NA
"logh0",-1,-1.03522138404443,-0.0352213840444282,0.09267364787006,0.0975641148918333,0.94,NA,NA
"gamma_x",0.3,0.306390076375341,0.00639007637534122,0.0689805447910107,0.0704053349434316,0.96,NA,NA
"gamma0",0.6,0.589870795581298,-0.0101292044187024,0.0382927227567517,0.0397432240832663,0.93,NA,NA
"gamma11",0.35,0.35438899009414,0.00438899009414045,0.0676915122248791,0.0638502201185205,0.97,NA,NA
"gamma12",0.3,0.305095356772152,0.00509535677215245,0.0624904082103159,0.0637236969341724,0.96,NA,NA
"gamma13",0.1,0.102075106819387,0.00207510681938705,0.0708063902582564,0.0763586499216387,0.98,NA,NA
"gamma_m1",-0.6,-0.515588474409527,0.0844115255904733,0.19085247249754,0.156400088448659,0.87,NA,NA
"gamma_m2",-1.1,-1.06127942835615,0.0387205716438537,0.22374559597561,0.187756077464644,0.93,NA,NA
"gamma_m3",-0.5,-0.553072152657873,-0.0530721526578726,0.282851560683858,0.219675311688372,0.84,NA,NA
"gamma_m4",0.7,0.744069348233068,0.0440693482330684,0.298940697705719,0.282395900013938,0.94,NA,NA
"gamma_m5",-1.8,-1.83372813754836,-0.0337281375483551,0.493871341464532,0.486924256692306,0.97,NA,NA
"xi_{i1}",0.661016844829203,0,0,0,0,0,NA,NA
"xi_{i2}",0.243862953703655,0,0,0,0,0,NA,NA
"xi_{mi1}",0.00329018050894233,0,0,0,0,0,NA,NA
"xi_{mi2}",0.0046420939501799,0,0,0,0,0,NA,NA
"xi_{mi3}",0.00322406320146496,0,0,0,0,0,NA,NA
"xi_{mi4}",0.00130122200977602,0,0,0,0,0,NA,NA
"xi_{mi5}",0.000507219649364804,0,0,0,0,0,NA,NA
